numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
6;auspol2019;Cerrado_Lineal;140000;1461
6;auspol2019;Cerrado_Lineal;150000;1578
6;auspol2019;Cerrado_Lineal;160000;1729
6;auspol2019;Cerrado_Lineal;170000;1876
6;auspol2019;Cerrado_Lineal;180000;1996
6;auspol2019;Cerrado_Cuadratico;10000;70
6;auspol2019;Cerrado_Cuadratico;20000;186
6;auspol2019;Cerrado_Cuadratico;30000;306
6;auspol2019;Cerrado_Cuadratico;40000;414
6;auspol2019;Cerrado_Cuadratico;50000;524
6;auspol2019;Cerrado_Cuadratico;60000;650
6;auspol2019;Cerrado_Cuadratico;70000;774
6;auspol2019;Cerrado_Cuadratico;80000;898
6;auspol2019;Cerrado_Cuadratico;90000;1001
6;auspol2019;Cerrado_Cuadratico;100000;1103
6;auspol2019;Cerrado_Cuadratico;110000;1202
6;auspol2019;Cerrado_Cuadratico;120000;1302
6;auspol2019;Cerrado_Cuadratico;130000;1398
6;auspol2019;Cerrado_Cuadratico;140000;1488
6;auspol2019;Cerrado_Cuadratico;150000;1607
6;auspol2019;Cerrado_Cuadratico;160000;1773
6;auspol2019;Cerrado_Cuadratico;170000;1922
6;auspol2019;Cerrado_Cuadratico;180000;2043
6;auspol2019;Cerrado_Doble;10000;83
6;auspol2019;Cerrado_Doble;20000;202
6;auspol2019;Cerrado_Doble;30000;326
6;auspol2019;Cerrado_Doble;40000;445
6;auspol2019;Cerrado_Doble;50000;567
6;auspol2019;Cerrado_Doble;60000;704
6;auspol2019;Cerrado_Doble;70000;838
6;auspol2019;Cerrado_Doble;80000;975
6;auspol2019;Cerrado_Doble;90000;1091
6;auspol2019;Cerrado_Doble;100000;1208
6;auspol2019;Cerrado_Doble;110000;1321
6;auspol2019;Cerrado_Doble;120000;1434
6;auspol2019;Cerrado_Doble;130000;1544
6;auspol2019;Cerrado_Doble;140000;1649
6;auspol2019;Cerrado_Doble;150000;1781
6;auspol2019;Cerrado_Doble;160000;1947
6;auspol2019;Cerrado_Doble;170000;2125
6;auspol2019;Cerrado_Doble;180000;2262
6;auspol2019;STL_UnorderedMap;10000;130
6;auspol2019;STL_UnorderedMap;20000;263
6;auspol2019;STL_UnorderedMap;30000;388
6;auspol2019;STL_UnorderedMap;40000;481
6;auspol2019;STL_UnorderedMap;50000;569
6;auspol2019;STL_UnorderedMap;60000;664
6;auspol2019;STL_UnorderedMap;70000;745
6;auspol2019;STL_UnorderedMap;80000;830
6;auspol2019;STL_UnorderedMap;90000;896
6;auspol2019;STL_UnorderedMap;100000;966
6;auspol2019;STL_UnorderedMap;110000;1025
6;auspol2019;STL_UnorderedMap;120000;1080
6;auspol2019;STL_UnorderedMap;130000;1133
6;auspol2019;STL_UnorderedMap;140000;1192
6;auspol2019;STL_UnorderedMap;150000;1269
6;auspol2019;STL_UnorderedMap;160000;1370
6;auspol2019;STL_UnorderedMap;170000;1452
6;auspol2019;STL_UnorderedMap;180000;1517
7;auspol2019;Hash_Abierto;10000;123
7;auspol2019;Hash_Abierto;20000;260
7;auspol2019;Hash_Abierto;30000;387
7;auspol2019;Hash_Abierto;40000;492
7;auspol2019;Hash_Abierto;50000;595
7;auspol2019;Hash_Abierto;60000;709
7;auspol2019;Hash_Abierto;70000;811
7;auspol2019;Hash_Abierto;80000;918
7;auspol2019;Hash_Abierto;90000;1002
7;auspol2019;Hash_Abierto;100000;1083
7;auspol2019;Hash_Abierto;110000;1157
7;auspol2019;Hash_Abierto;120000;1230
7;auspol2019;Hash_Abierto;130000;1300
7;auspol2019;Hash_Abierto;140000;1366
7;auspol2019;Hash_Abierto;150000;1461
7;auspol2019;Hash_Abierto;160000;1607
7;auspol2019;Hash_Abierto;170000;1724
7;auspol2019;Hash_Abierto;180000;1814
7;auspol2019;Cerrado_Lineal;10000;71
7;auspol2019;Cerrado_Lineal;20000;186
7;auspol2019;Cerrado_Lineal;30000;296
7;auspol2019;Cerrado_Lineal;40000;401
7;auspol2019;Cerrado_Lineal;50000;512
7;auspol2019;Cerrado_Lineal;60000;648
